============= Dilithium-III
[0m[1;31m     LWE instance generation    [0m
n=1280	m=1536	q=8380417
dim = 2654, m = 1373, dvol = 19371.02384334926, β = 623.6116
Generate gs-lengths by GSA assumption...enumbs min_G_prec = 0.001
 Attack Estimation via simulation + probabilistic model (EnumBS in parallel)
v1. beta_start= 50, gap = 1, J = 100, J_gap = 3, cost_model = 1, max_loop = 1, threads = 60, G_prec = 1.000000e-03,  slope_prec = 1.000000e-04,  progressive_sieve = True, worst_case = 0, succ_prob = 0.999, Find minimal time cost strategy, average_case, theo_pnjbkz_d4f = 2, theo_pump_d4f = 2, list_decoding = `matzov22`. 
 index:        2, (  57,   4): (  50, 100) --> (1499,   1), goal index:     1363, cost = 
 index:     6093, ( 105,   4): (  97, 100) --> (1499,   1), goal index:     7458, cost = 
 index:     6094, ( 105,   4): (  97, 100) --> (1499,   1), goal index:     7464, cost = 
 index:     6095, ( 105,   4): (  97, 100) --> (1499,   1), goal index:     7433, cost = 
 index:     6096, ( 105,   4): (  97, 100) --> (1499,   1), goal index:     7435, cost = 
 index:     6097, ( 105,   4): (  97, 100) --> (1499,   1), goal index:     7460, cost = 
 index:     6098, ( 105,   4): (  97, 100) --> (1499,   1), goal index:     7476, cost = 
 index:     6099, ( 105,   4): (  97, 100) --> (1499,   1), goal index:     7472, cost = 
 index:     6100, ( 105,   4): (  97, 100) --> (1499,   1), goal index:     7438, cost = 
 index:     6101, ( 105,   4): (  97, 100) --> (1499,   1), goal index:     7450, cost = 
 index:     6102, ( 105,   4): (  97, 100) --> (1499,   1), goal index:     7465, cost = 
 index:     6103, ( 105,   4): (  97, 100) --> (1499,   1), goal index:     7443, cost = 
 index:     6104, ( 105,   4): (  97, 100) --> (1499,   1), goal index:     7462, cost = 
 index:     6105, ( 106,   4): (  98, 100) --> (1499,   1), goal index:     7487, cost = 
 index:     6106, ( 105,   4): (  97, 100) --> (1499,   1), goal index:     7504, cost = 
 index:     6107, ( 105,   4): (  97, 100) --> (1499,   1), goal index:     7499, cost = 
 index:     6108, ( 105,   4): (  97, 100) --> (1499,   1), goal index:     7457, cost = 
 index:     6109, ( 105,   4): (  97, 100) --> (1499,   1), goal index:     7466, cost = 
 index:     6110, ( 105,   4): (  97, 100) --> (1499,   1), goal index:     7470, cost = 
 index:     6111, ( 105,   4): (  97, 100) --> (1499,   1), goal index:     7492, cost = 
 index:     6112, ( 105,   4): (  97, 100) --> (1499,   1), goal index:     7508, cost = 
 index:     6113, ( 105,   4): (  97, 100) --> (1499,   1), goal index:     7494, cost = 
 index:     6114, ( 105,   4): (  97, 100) --> (1499,   1), goal index:     7452, cost = 
 index:     6115, ( 105,   4): (  97, 100) --> (1499,   1), goal index:     7457, cost = 
 index:     6116, ( 105,   4): (  97, 100) --> (1499,   1), goal index:     7480, cost = 
 index:     6117, ( 105,   4): (  97, 100) --> (1499,   1), goal index:     7485, cost = 
 index:     6118, ( 105,   4): (  97, 100) --> (1499,   1), goal index:     7456, cost = 
 index:     6119, ( 105,   4): (  97, 100) --> (1499,   1), goal index:     7458, cost = 
 index:     6120, ( 105,   4): (  97, 100) --> (1499,   1), goal index:     7483, cost = 
 index:     6121, ( 105,   4): (  97, 100) --> (1499,   1), goal index:     7499, cost = 
 index:     6122, ( 105,   4): (  97, 100) --> (1499,   1), goal index:     7495, cost = 
 index:     6123, ( 105,   4): (  97, 100) --> (1499,   1), goal index:     7461, cost = 
 index:     6124, ( 105,   4): (  97, 100) --> (1499,   1), goal index:     7472, cost = 
 index:     6125, ( 105,   4): (  97, 100) --> (1499,   1), goal index:     7487, cost = 
 index:     6126, ( 105,   4): (  97, 100) --> (1499,   1), goal index:     7466, cost = 
 index:     6127, ( 105,   4): (  97, 100) --> (1499,   1), goal index:     7485, cost = 
 index:     6128, ( 106,   4): (  98, 100) --> (1499,   1), goal index:     7510, cost = 
 index:     6129, ( 105,   4): (  97, 100) --> (1499,   1), goal index:     7527, cost = 
 index:     6130, ( 105,   4): (  97, 100) --> (1499,   1), goal index:     7522, cost = 
 index:     6131, ( 105,   4): (  97, 100) --> (1499,   1), goal index:     7481, cost = 
 index:     6132, ( 105,   4): (  97, 100) --> (1499,   1), goal index:     7489, cost = 
 index:     6133, ( 105,   4): (  97, 100) --> (1499,   1), goal index:     7491, cost = 
 index:     6134, ( 105,   4): (  97, 100) --> (1499,   1), goal index:     7512, cost = 
 index:     6135, ( 105,   4): (  97, 100) --> (1499,   1), goal index:     7528, cost = 
 index:     6136, ( 105,   4): (  97, 100) --> (1499,   1), goal index:     7514, cost = 
 index:     6137, ( 105,   4): (  97, 100) --> (1499,   1), goal index:     7475, cost = 
 index:     6138, ( 105,   4): (  97, 100) --> (1499,   1), goal index:     7477, cost = 
 index:     6139, ( 105,   4): (  97, 100) --> (1499,   1), goal index:     7500, cost = 
 index:     6140, ( 105,   4): (  97, 100) --> (1499,   1), goal index:     7502, cost = 
 index:     6141, ( 105,   4): (  97, 100) --> (1499,   1), goal index:     7479, cost = 
 index:     6142, ( 105,   4): (  97, 100) --> (1499,   1), goal index:     7481, cost = 
 index:     6143, ( 105,   4): (  97, 100) --> (1499,   1), goal index:     7506, cost = 
 index:     6144, ( 105,   4): (  97, 100) --> (1499,   1), goal index:     7522, cost = 
 index:     6145, ( 105,   4): (  97, 100) --> (1499,   1), goal index:     7518, cost = 
 index:     6146, ( 105,   4): (  97, 100) --> (1499,   1), goal index:     7484, cost = 
 index:     6147, ( 105,   4): (  97, 100) --> (1499,   1), goal index:     7495, cost = 
 index:     6148, ( 105,   4): (  97, 100) --> (1499,   1), goal index:     7509, cost = 
 index:     6149, ( 105,   4): (  97, 100) --> (1499,   1), goal index:     7489, cost = 
 index:     6150, ( 105,   4): (  97, 100) --> (1499,   1), goal index:     7508, cost = 
 index:     6151, ( 106,   4): (  98, 100) --> (1499,   1), goal index:     7533, cost = 
 index:     6152, ( 105,   4): (  97, 100) --> (1499,   1), goal index:     7550, cost = 
 index:     6153, ( 105,   4): (  97, 100) --> (1499,   1), goal index:     7544, cost = 
 index:     6154, ( 105,   4): (  97, 100) --> (1499,   1), goal index:     7503, cost = 
 index:     6155, ( 105,   4): (  97, 100) --> (1499,   1), goal index:     7512, cost = 
 index:     6156, ( 105,   4): (  97, 100) --> (1499,   1), goal index:     7512, cost = 
 index:     6157, ( 105,   4): (  97, 100) --> (1499,   1), goal index:     7533, cost = 
 index:     6158, ( 105,   4): (  97, 100) --> (1499,   1), goal index:     7549, cost = 
 index:     6159, ( 105,   4): (  97, 100) --> (1499,   1), goal index:     7534, cost = 
 index:     6160, ( 105,   4): (  97, 100) --> (1499,   1), goal index:     7498, cost = 
 index:     6161, ( 105,   4): (  97, 100) --> (1499,   1), goal index:     7498, cost = 
 index:     6162, ( 105,   4): (  97, 100) --> (1499,   1), goal index:     7521, cost = 
 index:     6163, ( 105,   4): (  97, 100) --> (1499,   1), goal index:     7521, cost = 
 index:     6164, ( 105,   4): (  97, 100) --> (1499,   1), goal index:     7500, cost = 
 index:     6165, ( 105,   4): (  97, 100) --> (1499,   1), goal index:     7502, cost = 
 index:     6166, ( 105,   4): (  97, 100) --> (1499,   1), goal index:     7526, cost = 
 index:     6167, ( 105,   4): (  97, 100) --> (1499,   1), goal index:     7541, cost = 
 index:     6168, ( 105,   4): (  97, 100) --> (1499,   1), goal index:     7537, cost = 
 index:     6169, ( 105,   4): (  97, 100) --> (1499,   1), goal index:     7505, cost = 
 index:     6170, ( 105,   4): (  97, 100) --> (1499,   1), goal index:     7514, cost = 
 index:     6171, ( 105,   4): (  97, 100) --> (1499,   1), goal index:     7527, cost = 
 index:     6172, ( 105,   4): (  97, 100) --> (1499,   1), goal index:     7510, cost = 
 index:     6173, ( 105,   4): (  97, 100) --> (1499,   1), goal index:     7528, cost = 
 index:     6174, ( 106,   4): (  98, 100) --> (1499,   1), goal index:     7552, cost = 
 index:     6175, ( 105,   4): (  97, 100) --> (1499,   1), goal index:     7569, cost = 
 index:     6176, ( 105,   4): (  97, 100) --> (1499,   1), goal index:     7561, cost = 
 index:     6177, ( 105,   4): (  97, 100) --> (1499,   1), goal index:     7524, cost = 
 index:     6178, ( 105,   4): (  97, 100) --> (1499,   1), goal index:     7532, cost = 
 index:     6179, ( 105,   4): (  97, 100) --> (1499,   1), goal index:     7529, cost = 
 index:     6180, ( 105,   4): (  97, 100) --> (1499,   1), goal index:     7549, cost = 
 index:     6181, ( 105,   4): (  97, 100) --> (1499,   1), goal index:     7564, cost = 
 index:     6182, ( 105,   4): (  97, 100) --> (1499,   1), goal index:     7550, cost = 
 index:     6183, ( 105,   4): (  97, 100) --> (1499,   1), goal index:     7517, cost = 
 index:     6184, ( 106,   4): (  98, 100) --> (1499,   1), goal index:     7540, cost = 
 index:     6185, ( 106,   4): (  98, 100) --> (1499,   1), goal index:     7564, cost = 
 index:     6186, ( 106,   4): (  98, 100) --> (1499,   1), goal index:     7521, cost = 
 index:     6187, ( 106,   4): (  98, 100) --> (1499,   1), goal index:     7523, cost = 
 index:     6188, ( 106,   4): (  98, 100) --> (1499,   1), goal index:     7547, cost = 
 index:     6189, ( 106,   4): (  98, 100) --> (1499,   1), goal index:     7561, cost = 
 index:     6190, ( 106,   4): (  98, 100) --> (1499,   1), goal index:     7557, cost = 
 index:     6191, ( 106,   4): (  98, 100) --> (1499,   1), goal index:     7526, cost = 
 index:     6192, ( 106,   4): (  98, 100) --> (1499,   1), goal index:     7534, cost = 
 index:     6193, ( 106,   4): (  98, 100) --> (1499,   1), goal index:     7547, cost = 
 index:     6194, ( 106,   4): (  98, 100) --> (1499,   1), goal index:     7531, cost = 
 index:     6195, ( 106,   4): (  98, 100) --> (1499,   1), goal index:     7549, cost = 
 index:     6196, ( 106,   4): (  98, 100) --> (1499,   1), goal index:     7573, cost = 
 index:     6197, ( 106,   4): (  98, 100) --> (1499,   1), goal index:     7589, cost = 
 index:     6198, ( 106,   4): (  98, 100) --> (1499,   1), goal index:     7581, cost = 
 index:     6199, ( 106,   4): (  98, 100) --> (1499,   1), goal index:     7545, cost = 
 index:     6200, ( 106,   4): (  98, 100) --> (1499,   1), goal index:     7554, cost = 
 index:     6201, ( 106,   4): (  98, 100) --> (1499,   1), goal index:     7574, cost = 
 index:     6202, ( 106,   4): (  98, 100) --> (1499,   1), goal index:     7576, cost = 
 index:     6203, ( 106,   4): (  98, 100) --> (1499,   1), goal index:     7538, cost = 
 index:     6204, ( 106,   4): (  98, 100) --> (1499,   1), goal index:     7561, cost = 
 index:     6205, ( 107,   4): (  99, 100) --> (1499,   1), goal index:     7585, cost = 
 index:     6206, ( 106,   4): (  98, 100) --> (1499,   1), goal index:     7602, cost = 
 index:     6207, ( 106,   4): (  98, 100) --> (1499,   1), goal index:     7542, cost = 
 index:     6208, ( 106,   4): (  98, 100) --> (1499,   1), goal index:     7544, cost = 
 index:     6209, ( 106,   4): (  98, 100) --> (1499,   1), goal index:     7569, cost = 
 index:     6210, ( 106,   4): (  98, 100) --> (1499,   1), goal index:     7582, cost = 
 index:     6211, ( 106,   4): (  98, 100) --> (1499,   1), goal index:     7577, cost = 
 index:     6212, ( 106,   4): (  98, 100) --> (1499,   1), goal index:     7547, cost = 
 index:     6213, ( 106,   4): (  98, 100) --> (1499,   1), goal index:     7554, cost = 
 index:     6214, ( 106,   4): (  98, 100) --> (1499,   1), goal index:     7566, cost = 
 index:     6215, ( 106,   4): (  98, 100) --> (1499,   1), goal index:     7551, cost = 
 index:     6216, ( 106,   4): (  98, 100) --> (1499,   1), goal index:     7570, cost = 
 index:     6217, ( 106,   4): (  98, 100) --> (1499,   1), goal index:     7594, cost = 
 index:     6218, ( 106,   4): (  98, 100) --> (1499,   1), goal index:     7610, cost = 
 index:     6219, ( 106,   4): (  98, 100) --> (1499,   1), goal index:     7601, cost = 
 index:     6220, ( 106,   4): (  98, 100) --> (1499,   1), goal index:     7565, cost = 
 index:     6221, ( 106,   4): (  98, 100) --> (1499,   1), goal index:     7574, cost = 
 index:     6222, ( 106,   4): (  98, 100) --> (1499,   1), goal index:     7594, cost = 
 index:     6223, ( 106,   4): (  98, 100) --> (1499,   1), goal index:     7596, cost = 
 index:     6224, ( 106,   4): (  98, 100) --> (1499,   1), goal index:     7559, cost = 
 index:     6225, ( 106,   4): (  98, 100) --> (1499,   1), goal index:     7582, cost = 
 index:     6226, ( 107,   4): (  99, 100) --> (1499,   1), goal index:     7606, cost = 
 index:     6227, ( 106,   4): (  98, 100) --> (1499,   1), goal index:     7623, cost = 
 index:     6228, ( 106,   4): (  98, 100) --> (1499,   1), goal index:     7563, cost = 
 index:     6229, ( 106,   4): (  98, 100) --> (1499,   1), goal index:     7565, cost = 
 index:     6230, ( 106,   4): (  98, 100) --> (1499,   1), goal index:     7590, cost = 
 index:     6231, ( 106,   4): (  98, 100) --> (1499,   1), goal index:     7603, cost = 
 index:     6232, ( 106,   4): (  98, 100) --> (1499,   1), goal index:     7598, cost = 
 index:     6233, ( 106,   4): (  98, 100) --> (1499,   1), goal index:     7568, cost = 
 index:     6234, ( 106,   4): (  98, 100) --> (1499,   1), goal index:     7574, cost = 
 index:     6235, ( 106,   4): (  98, 100) --> (1499,   1), goal index:     7586, cost = 
 index:     6236, ( 106,   4): (  98, 100) --> (1499,   1), goal index:     7571, cost = 
 index:     6237, ( 106,   4): (  98, 100) --> (1499,   1), goal index:     7590, cost = 
 index:     6238, ( 106,   4): (  98, 100) --> (1499,   1), goal index:     7614, cost = 
 index:     6239, ( 106,   4): (  98, 100) --> (1499,   1), goal index:     7630, cost = 
 index:     6240, ( 106,   4): (  98, 100) --> (1499,   1), goal index:     7619, cost = 
 index:     6241, ( 106,   4): (  98, 100) --> (1499,   1), goal index:     7584, cost = 
 index:     6242, ( 106,   4): (  98, 100) --> (1499,   1), goal index:     7594, cost = 
 index:     6243, ( 106,   4): (  98, 100) --> (1499,   1), goal index:     7614, cost = 
 index:     6244, ( 106,   4): (  98, 100) --> (1499,   1), goal index:     7616, cost = 
 index:     6245, ( 106,   4): (  98, 100) --> (1499,   1), goal index:     7579, cost = 
 index:     6246, ( 106,   4): (  98, 100) --> (1499,   1), goal index:     7602, cost = 
 index:     6247, ( 107,   4): (  99, 100) --> (1499,   1), goal index:     7626, cost = 
 index:     6248, ( 106,   4): (  98, 100) --> (1499,   1), goal index:     7643, cost = 
 index:     6249, ( 106,   4): (  98, 100) --> (1499,   1), goal index:     7583, cost = 
 index:     6250, ( 106,   4): (  98, 100) --> (1499,   1), goal index:     7585, cost = 
 index:     6251, ( 106,   4): (  98, 100) --> (1499,   1), goal index:     7609, cost = 
 index:     6252, ( 106,   4): (  98, 100) --> (1499,   1), goal index:     7620, cost = 
 index:     6253, ( 106,   4): (  98, 100) --> (1499,   1), goal index:     7615, cost = 
 index:     6254, ( 106,   4): (  98, 100) --> (1499,   1), goal index:     7588, cost = 
 index:     6255, ( 106,   4): (  98, 100) --> (1499,   1), goal index:     7591, cost = 
 index:     6256, ( 106,   4): (  98, 100) --> (1499,   1), goal index:     7592, cost = 
 index:     6257, ( 106,   4): (  98, 100) --> (1499,   1), goal index:     7609, cost = 
 index:     6258, ( 106,   4): (  98, 100) --> (1499,   1), goal index:     7632, cost = 
 index:     6259, ( 106,   4): (  98, 100) --> (1499,   1), goal index:     7647, cost = 
 index:     6260, ( 106,   4): (  98, 100) --> (1499,   1), goal index:     7635, cost = 
 index:     6261, ( 106,   4): (  98, 100) --> (1499,   1), goal index:     7604, cost = 
 index:     6262, ( 106,   4): (  98, 100) --> (1499,   1), goal index:     7613, cost = 
 index:     6263, ( 106,   4): (  98, 100) --> (1499,   1), goal index:     7632, cost = 
 index:     6264, ( 106,   4): (  98, 100) --> (1499,   1), goal index:     7634, cost = 
 index:     6265, ( 106,   4): (  98, 100) --> (1499,   1), goal index:     7599, cost = 
 index:     6266, ( 106,   4): (  98, 100) --> (1499,   1), goal index:     7621, cost = 
 index:     6267, ( 107,   4): (  99, 100) --> (1499,   1), goal index:     7644, cost = 
 index:     6268, ( 106,   4): (  98, 100) --> (1499,   1), goal index:     7661, cost = 
 index:     6269, ( 107,   4): (  99, 100) --> (1499,   1), goal index:     7603, cost = 
 index:     6270, ( 107,   4): (  99, 100) --> (1499,   1), goal index:     7630, cost = 
 index:     6271, ( 107,   4): (  99, 100) --> (1499,   1), goal index:     7607, cost = 
 index:     6272, ( 107,   4): (  99, 100) --> (1499,   1), goal index:     7630, cost = 
 index:     6273, ( 107,   4): (  99, 100) --> (1499,   1), goal index:     7641, cost = 
 index:     6274, ( 107,   4): (  99, 100) --> (1499,   1), goal index:     7636, cost = 
 index:     6275, ( 107,   4): (  99, 100) --> (1499,   1), goal index:     7609, cost = 
 index:     6276, ( 107,   4): (  99, 100) --> (1499,   1), goal index:     7609, cost = 
 index:     6277, ( 107,   4): (  99, 100) --> (1499,   1), goal index:     7612, cost = 
 index:     6278, ( 107,   4): (  99, 100) --> (1499,   1), goal index:     7629, cost = 
 index:     6279, ( 107,   4): (  99, 100) --> (1499,   1), goal index:     7652, cost = 
 index:     6280, ( 107,   4): (  99, 100) --> (1499,   1), goal index:     7667, cost = 
 index:     6281, ( 107,   4): (  99, 100) --> (1499,   1), goal index:     7651, cost = 
 index:     6282, ( 107,   4): (  99, 100) --> (1499,   1), goal index:     7621, cost = 
 index:     6283, ( 107,   4): (  99, 100) --> (1499,   1), goal index:     7632, cost = 
 index:     6284, ( 107,   4): (  99, 100) --> (1499,   1), goal index:     7651, cost = 
 index:     6285, ( 107,   4): (  99, 100) --> (1499,   1), goal index:     7653, cost = 
 index:     6286, ( 107,   4): (  99, 100) --> (1499,   1), goal index:     7618, cost = 
 index:     6287, ( 107,   4): (  99, 100) --> (1499,   1), goal index:     7639, cost = 
 index:     6288, ( 107,   4): (  99, 100) --> (1499,   1), goal index:     7662, cost = 
 index:     6289, ( 107,   4): (  99, 100) --> (1499,   1), goal index:     7679, cost = 
 index:     6290, ( 107,   4): (  99, 100) --> (1499,   1), goal index:     7622, cost = 
 index:     6291, ( 107,   4): (  99, 100) --> (1499,   1), goal index:     7649, cost = 
 index:     6292, ( 107,   4): (  99, 100) --> (1499,   1), goal index:     7626, cost = 
 index:     6293, ( 107,   4): (  99, 100) --> (1499,   1), goal index:     7649, cost = 
 index:     6294, ( 107,   4): (  99, 100) --> (1499,   1), goal index:     7660, cost = 
 index:     6295, ( 107,   4): (  99, 100) --> (1499,   1), goal index:     7655, cost = 
 index:     6296, ( 107,   4): (  99, 100) --> (1499,   1), goal index:     7628, cost = 
 index:     6297, ( 107,   4): (  99, 100) --> (1499,   1), goal index:     7631, cost = 
 index:     6298, ( 107,   4): (  99, 100) --> (1499,   1), goal index:     7648, cost = 
 index:     6299, ( 107,   4): (  99, 100) --> (1499,   1), goal index:     7670, cost = 
 index:     6300, ( 107,   4): (  99, 100) --> (1499,   1), goal index:     7673, cost = 
 index:     6301, ( 107,   4): (  99, 100) --> (1499,   1), goal index:     7639, cost = 
 index:     6302, ( 107,   4): (  99, 100) --> (1499,   1), goal index:     7652, cost = 
 index:     6303, ( 107,   4): (  99, 100) --> (1499,   1), goal index:     7671, cost = 
 index:     6304, ( 107,   4): (  99, 100) --> (1499,   1), goal index:     7672, cost = 
 index:     6305, ( 107,   4): (  99, 100) --> (1499,   1), goal index:     7637, cost = 
 index:     6306, ( 107,   4): (  99, 100) --> (1499,   1), goal index:     7658, cost = 
 index:     6307, ( 107,   4): (  99, 100) --> (1499,   1), goal index:     7681, cost = 
 index:     6308, ( 107,   4): (  99, 100) --> (1499,   1), goal index:     7697, cost = 
 index:     6309, ( 107,   4): (  99, 100) --> (1499,   1), goal index:     7641, cost = 
 index:     6310, ( 107,   4): (  99, 100) --> (1499,   1), goal index:     7668, cost = 
 index:     6311, ( 107,   4): (  99, 100) --> (1499,   1), goal index:     7645, cost = 
 index:     6312, ( 107,   4): (  99, 100) --> (1499,   1), goal index:     7668, cost = 
 index:     6313, ( 107,   4): (  99, 100) --> (1499,   1), goal index:     7678, cost = 
 index:     6314, ( 107,   4): (  99, 100) --> (1499,   1), goal index:     7672, cost = 
 index:     6315, ( 107,   4): (  99, 100) --> (1499,   1), goal index:     7647, cost = 
 index:     6316, ( 107,   4): (  99, 100) --> (1499,   1), goal index:     7649, cost = 
 index:     6317, ( 107,   4): (  99, 100) --> (1499,   1), goal index:     7666, cost = 
 index:     6318, ( 107,   4): (  99, 100) --> (1499,   1), goal index:     7688, cost = 
 index:     6319, ( 107,   4): (  99, 100) --> (1499,   1), goal index:     7691, cost = 
 index:     6320, ( 107,   4): (  99, 100) --> (1499,   1), goal index:     7657, cost = 
 index:     6321, ( 107,   4): (  99, 100) --> (1499,   1), goal index:     7671, cost = 
 index:     6322, ( 107,   4): (  99, 100) --> (1499,   1), goal index:     7690, cost = 
 index:     6323, ( 107,   4): (  99, 100) --> (1499,   1), goal index:     7691, cost = 
 index:     6324, ( 107,   4): (  99, 100) --> (1499,   1), goal index:     7656, cost = 
 index:     6325, ( 107,   4): (  99, 100) --> (1499,   1), goal index:     7677, cost = 
 index:     6326, ( 107,   4): (  99, 100) --> (1499,   1), goal index:     7700, cost = 
 index:     6327, ( 107,   4): (  99, 100) --> (1499,   1), goal index:     7716, cost = 
 index:     6328, ( 107,   4): (  99, 100) --> (1499,   1), goal index:     7660, cost = 
 index:     6329, ( 107,   4): (  99, 100) --> (1499,   1), goal index:     7687, cost = 
 index:     6330, ( 107,   4): (  99, 100) --> (1499,   1), goal index:     7664, cost = 
 index:     6331, ( 107,   4): (  99, 100) --> (1499,   1), goal index:     7687, cost = 
 index:     6332, ( 107,   4): (  99, 100) --> (1499,   1), goal index:     7697, cost = 
 index:     6333, ( 107,   4): (  99, 100) --> (1499,   1), goal index:     7690, cost = 
 index:     6334, ( 107,   4): (  99, 100) --> (1499,   1), goal index:     7668, cost = 
 index:     6335, ( 107,   4): (  99, 100) --> (1499,   1), goal index:     7670, cost = 
 index:     6336, ( 107,   4): (  99, 100) --> (1499,   1), goal index:     7686, cost = 
 index:     6337, ( 107,   4): (  99, 100) --> (1499,   1), goal index:     7707, cost = 
 index:     6338, ( 107,   4): (  99, 100) --> (1499,   1), goal index:     7710, cost = 
 index:     6339, ( 107,   4): (  99, 100) --> (1499,   1), goal index:     7677, cost = 
 index:     6340, ( 107,   4): (  99, 100) --> (1499,   1), goal index:     7689, cost = 
 index:     6341, ( 107,   4): (  99, 100) --> (1499,   1), goal index:     7707, cost = 
 index:     6342, ( 107,   4): (  99, 100) --> (1499,   1), goal index:     7708, cost = 
 index:     6343, ( 107,   4): (  99, 100) --> (1499,   1), goal index:     7677, cost = 
 index:     6344, ( 107,   4): (  99, 100) --> (1499,   1), goal index:     7697, cost = 
 index:     6345, ( 107,   4): (  99, 100) --> (1499,   1), goal index:     7719, cost = 
 index:     6346, ( 107,   4): (  99, 100) --> (1499,   1), goal index:     7734, cost = 
 index:     6347, ( 107,   4): (  99, 100) --> (1499,   1), goal index:     7681, cost = 
 index:     6348, ( 107,   4): (  99, 100) --> (1499,   1), goal index:     7707, cost = 
 index:     6349, ( 107,   4): (  99, 100) --> (1499,   1), goal index:     7685, cost = 
 index:     6350, ( 107,   4): (  99, 100) --> (1499,   1), goal index:     7707, cost = 
 index:     6351, ( 107,   4): (  99, 100) --> (1499,   1), goal index:     7716, cost = 
 index:     6352, ( 108,   4): ( 100, 100) --> (1499,   1), goal index:     7709, cost = 
 index:     6353, ( 108,   4): ( 100, 100) --> (1499,   1), goal index:     7734, cost = 
 index:     6354, ( 108,   4): ( 100, 100) --> (1499,   1), goal index:     7741, cost = 
 index:     6355, ( 108,   4): ( 100, 100) --> (1499,   1), goal index:     7737, cost = 
 index:     6356, ( 108,   4): ( 100, 100) --> (1499,   1), goal index:     7690, cost = 
 index:     6357, ( 108,   4): ( 100, 100) --> (1499,   1), goal index:     7692, cost = 
 index:     6358, ( 108,   4): ( 100, 100) --> (1499,   1), goal index:     7708, cost = 
 index:     6359, ( 108,   4): ( 100, 100) --> (1499,   1), goal index:     7729, cost = 
 index:     6360, ( 108,   4): ( 100, 100) --> (1499,   1), goal index:     7732, cost = 
 index:     6361, ( 108,   4): ( 100, 100) --> (1499,   1), goal index:     7698, cost = 
 index:     6362, ( 108,   4): ( 100, 100) --> (1499,   1), goal index:     7710, cost = 
 index:     6363, ( 108,   4): ( 100, 100) --> (1499,   1), goal index:     7727, cost = 
 index:     6364, ( 108,   4): ( 100, 100) --> (1499,   1), goal index:     7728, cost = 
 index:     6365, ( 108,   4): ( 100, 100) --> (1499,   1), goal index:     7698, cost = 
 index:     6366, ( 108,   4): ( 100, 100) --> (1499,   1), goal index:     7718, cost = 
 index:     6367, ( 108,   4): ( 100, 100) --> (1499,   1), goal index:     7740, cost = 
 index:     6368, ( 108,   4): ( 100, 100) --> (1499,   1), goal index:     7755, cost = 
 index:     6369, ( 108,   4): ( 100, 100) --> (1499,   1), goal index:     7702, cost = 
 index:     6370, ( 108,   4): ( 100, 100) --> (1499,   1), goal index:     7728, cost = 
 index:     6371, ( 108,   4): ( 100, 100) --> (1499,   1), goal index:     7706, cost = 
 index:     6372, ( 108,   4): ( 100, 100) --> (1499,   1), goal index:     7728, cost = 
 index:     6373, ( 108,   4): ( 100, 100) --> (1499,   1), goal index:     7736, cost = 
 index:     6374, ( 108,   4): ( 100, 100) --> (1499,   1), goal index:     7729, cost = 
 index:     6375, ( 108,   4): ( 100, 100) --> (1499,   1), goal index:     7754, cost = 
 index:     6376, ( 108,   4): ( 100, 100) --> (1499,   1), goal index:     7761, cost = 
 index:     6377, ( 108,   4): ( 100, 100) --> (1499,   1), goal index:     7757, cost = 
 index:     6378, ( 108,   4): ( 100, 100) --> (1499,   1), goal index:     7711, cost = 
 index:     6379, ( 108,   4): ( 100, 100) --> (1499,   1), goal index:     7713, cost = 
 index:     6380, ( 108,   4): ( 100, 100) --> (1499,   1), goal index:     7729, cost = 
 index:     6381, ( 108,   4): ( 100, 100) --> (1499,   1), goal index:     7750, cost = 
 index:     6382, ( 108,   4): ( 100, 100) --> (1499,   1), goal index:     7719, cost = 
 index:     6383, ( 108,   4): ( 100, 100) --> (1499,   1), goal index:     7732, cost = 
 index:     6384, ( 108,   4): ( 100, 100) --> (1499,   1), goal index:     7748, cost = 
 index:     6385, ( 108,   4): ( 100, 100) --> (1499,   1), goal index:     7749, cost = 
 index:     6386, ( 108,   4): ( 100, 100) --> (1499,   1), goal index:     7719, cost = 
 index:     6387, ( 108,   4): ( 100, 100) --> (1499,   1), goal index:     7739, cost = 
 index:     6388, ( 108,   4): ( 100, 100) --> (1499,   1), goal index:     7761, cost = 
 index:     6389, ( 108,   4): ( 100, 100) --> (1499,   1), goal index:     7775, cost = 
 index:     6390, ( 108,   4): ( 100, 100) --> (1499,   1), goal index:     7723, cost = 
 index:     6391, ( 108,   4): ( 100, 100) --> (1499,   1), goal index:     7749, cost = 
 index:     6392, ( 108,   4): ( 100, 100) --> (1499,   1), goal index:     7727, cost = 
 index:     6393, ( 108,   4): ( 100, 100) --> (1499,   1), goal index:     7749, cost = 
 index:     6394, ( 108,   4): ( 100, 100) --> (1499,   1), goal index:     7755, cost = 
 index:     6395, ( 108,   4): ( 100, 100) --> (1499,   1), goal index:     7747, cost = 
 index:     6396, ( 108,   4): ( 100, 100) --> (1499,   1), goal index:     7772, cost = 
 index:     6397, ( 108,   4): ( 100, 100) --> (1499,   1), goal index:     7777, cost = 
 index:     6398, ( 108,   4): ( 100, 100) --> (1499,   1), goal index:     7775, cost = 
 index:     6399, ( 108,   4): ( 100, 100) --> (1499,   1), goal index:     7732, cost = 
 index:     6400, ( 108,   4): ( 100, 100) --> (1499,   1), goal index:     7734, cost = 
